"id","on_date","from_currency","to_currency","rate"
"null","2017-03-20","EUR","DKK","7.434300"
"null","2017-03-20","EUR","CAD","1.429600"
"null","2017-03-20","EUR","JPY","121.490000"
"null","2017-03-20","EUR","HUF","308.550000"
"null","2017-03-20","EUR","RON","4.563300"
"null","2017-03-20","EUR","MYR","4.762400"
"null","2017-03-20","EUR","SEK","9.461000"
"null","2017-03-20","EUR","SGD","1.505500"
"null","2017-03-20","EUR","HKD","8.335200"
"null","2017-03-20","EUR","AUD","1.394000"
"null","2017-03-20","EUR","CHF","1.069800"
"null","2017-03-20","EUR","KRW","1213.200000"
"null","2017-03-20","EUR","CNY","7.414100"
"null","2017-03-20","EUR","TRY","3.889600"
"null","2017-03-20","EUR","HRK","7.413300"
"null","2017-03-20","EUR","NZD","1.531800"
"null","2017-03-20","EUR","THB","37.418000"
"null","2017-03-20","EUR","NOK","9.102300"
"null","2017-03-20","EUR","RUB","61.952000"
"null","2017-03-20","EUR","INR","70.251000"
"null","2017-03-20","EUR","MXN","20.571000"
"null","2017-03-20","EUR","CZK","27.021000"
"null","2017-03-20","EUR","BRL","3.334200"
"null","2017-03-20","EUR","PLN","4.298200"
"null","2017-03-20","EUR","PHP","53.867000"
"null","2017-03-20","EUR","ZAR","13.700000"
"id","on_date","from_currency","to_currency","rate"
"null","2017-03-21","EUR","USD","1.075200"
"null","2017-03-21","EUR","IDR","14315.000000"
"null","2017-03-21","EUR","BGN","1.955800"
"null","2017-03-21","EUR","ILS","3.904400"
"null","2017-03-21","EUR","GBP","0.867930"
"null","2017-03-21","EUR","DKK","7.434600"
"null","2017-03-21","EUR","CAD","1.435900"
"null","2017-03-21","EUR","JPY","121.190000"
"null","2017-03-21","EUR","HUF","308.640000"
"null","2017-03-21","EUR","RON","4.560500"
"null","2017-03-21","EUR","MYR","4.759400"
"null","2017-03-21","EUR","SEK","9.507800"
"null","2017-03-21","EUR","SGD","1.503000"
"null","2017-03-21","EUR","HKD","8.349700"
"null","2017-03-21","EUR","AUD","1.392200"
"null","2017-03-21","EUR","CHF","1.072000"
"null","2017-03-21","EUR","KRW","1199.600000"
"null","2017-03-21","EUR","CNY","7.426800"
"null","2017-03-21","EUR","TRY","3.906700"
"null","2017-03-21","EUR","HRK","7.405500"
"null","2017-03-21","EUR","NZD","1.527100"
"null","2017-03-21","EUR","THB","37.336000"
"null","2017-03-21","EUR","NOK","9.127800"
"null","2017-03-21","EUR","RUB","61.856000"
"null","2017-03-21","EUR","INR","70.280000"
"null","2017-03-21","EUR","MXN","20.551000"
"null","2017-03-21","EUR","CZK","27.021000"
"null","2017-03-21","EUR","BRL","3.341600"
"null","2017-03-21","EUR","PLN","4.282000"
"null","2017-03-21","EUR","PHP","53.826000"
"null","2017-03-21","EUR","ZAR","13.629000"
"id","on_date","from_currency","to_currency","rate"
"null","2017-03-22","EUR","USD","1.080200"
"null","2017-03-22","EUR","IDR","14387.000000"
"null","2017-03-22","EUR","BGN","1.955800"
"null","2017-03-22","EUR","ILS","3.904600"
"null","2017-03-22","EUR","GBP","0.867530"
"null","2017-03-22","EUR","DKK","7.435300"
"null","2017-03-22","EUR","CAD","1.434900"
"null","2017-03-22","EUR","JPY","121.580000"
"null","2017-03-22","EUR","HUF","308.290000"
"null","2017-03-22","EUR","RON","4.564600"
"null","2017-03-22","EUR","MYR","4.780400"
"null","2017-03-22","EUR","SEK","9.492300"
"null","2017-03-22","EUR","SGD","1.508800"
"null","2017-03-22","EUR","HKD","8.388600"
"null","2017-03-22","EUR","AUD","1.396900"
"null","2017-03-22","EUR","CHF","1.075000"
"null","2017-03-22","EUR","KRW","1208.000000"
"null","2017-03-22","EUR","CNY","7.441800"
"null","2017-03-22","EUR","TRY","3.897200"
"null","2017-03-22","EUR","HRK","7.407800"
"null","2017-03-22","EUR","NZD","1.530900"
"null","2017-03-22","EUR","THB","37.434000"
"null","2017-03-22","EUR","NOK","9.125300"
"null","2017-03-22","EUR","RUB","61.811000"
"null","2017-03-22","EUR","INR","70.493000"
"null","2017-03-22","EUR","MXN","20.508000"
"null","2017-03-22","EUR","CZK","27.021000"
"null","2017-03-22","EUR","BRL","3.317500"
"null","2017-03-22","EUR","PLN","4.262800"
"null","2017-03-22","EUR","PHP","54.075000"
"null","2017-03-22","EUR","ZAR","13.582000"
"id","on_date","from_currency","to_currency","rate"
"null","2017-03-23","EUR","USD","1.080700"
"null","2017-03-23","EUR","IDR","14405.000000"
"null","2017-03-23","EUR","BGN","1.955800"
"null","2017-03-23","EUR","ILS","3.950100"
"null","2017-03-23","EUR","GBP","0.867900"
"null","2017-03-23","EUR","DKK","7.437200"
"null","2017-03-23","EUR","CAD","1.445800"
"null","2017-03-23","EUR","JPY","120.070000"
"null","2017-03-23","EUR","HUF","309.160000"
"null","2017-03-23","EUR","RON","4.559000"
"null","2017-03-23","EUR","MYR","4.784800"
"null","2017-03-23","EUR","SEK","9.510500"
"null","2017-03-23","EUR","SGD","1.510800"
"null","2017-03-23","EUR","HKD","8.394900"
"null","2017-03-23","EUR","AUD","1.408600"
"null","2017-03-23","EUR","CHF","1.071400"
"null","2017-03-23","EUR","KRW","1210.100000"
"null","2017-03-23","EUR","CNY","7.443300"
"null","2017-03-23","EUR","TRY","3.915600"
"null","2017-03-23","EUR","HRK","7.408800"
"null","2017-03-23","EUR","NZD","1.535300"
"null","2017-03-23","EUR","THB","37.425000"
"null","2017-03-23","EUR","NOK","9.146300"
